Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:39:94:E4,2025-09-30 10:59:59,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,315,Evolve S1
D4:3A:2E:39:94:CE,2025-09-30 10:59:50,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,236,Evolve S1
D4:3A:2E:39:92:04,2025-09-30 10:59:40,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,204,Evolve S1
D4:3A:2E:39:91:DC,2025-09-30 10:59:35,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,136,Evolve S1
D4:3A:2E:39:91:E9,2025-09-30 10:59:15,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,143,Evolve S1
D4:3A:2E:32:F1:43,2025-09-30 10:59:14,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,141,Evolve S1
D4:3A:2E:39:92:0C,2025-09-30 10:59:11,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,125,Evolve S1
D4:3A:2E:39:A1:AB,2025-09-30 10:59:05,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,230,Evolve S1
D4:3A:2E:39:91:F2,2025-09-30 10:57:59,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,206,Evolve S1
D4:3A:2E:39:A1:9A,2025-09-30 10:57:59,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,222,Evolve S1
D4:3A:2E:39:96:7A,2025-09-30 10:57:57,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,320,Evolve S1
D4:3A:2E:39:91:79,2025-09-30 10:57:38,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,333,Evolve S1
D4:3A:2E:39:91:CF,2025-09-30 10:57:34,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,202,Evolve S1
D4:3A:2E:39:91:60,2025-09-30 10:57:34,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,306,Evolve S1
D4:3A:2E:39:91:9C,2025-09-30 10:57:30,Ex8hHOnwXsIooxrU2tbLHaBJmH4w0oZm,MVM665 - Days Inn & Suites Bossier City LA,339,Evolve S1
