Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:37:12:A5,2025-11-09 18:59:50,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,339,Evolve S1
18:0c:7a:89:33:f0,2025-11-09 18:59:39,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,436,Evolve M2
D4:3A:2E:37:15:50,2025-11-09 18:59:30,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,219,Evolve S1
D4:3A:2E:36:A0:5C,2025-11-09 18:59:27,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,327,Evolve S1
d8:cf:61:02:eb:78,2025-11-09 18:59:24,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,434,Evolve M2
D4:3A:2E:36:A0:6A,2025-11-09 18:59:13,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,312@LR,Evolve S1
D4:3A:2E:37:13:A0,2025-11-09 18:59:04,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,304@LR,Evolve S1
D4:3A:2E:37:10:D7,2025-11-09 18:59:03,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,203,Evolve S1
D4:3A:2E:37:10:CC,2025-11-09 18:57:50,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,302@LR,Evolve S1
D4:3A:2E:37:10:8B,2025-11-09 18:57:47,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,439,Evolve S1
D4:3A:2E:37:13:93,2025-11-09 18:57:44,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,216@LR,Evolve S1
D4:3A:2E:37:10:85,2025-11-09 18:57:42,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,214@BR,Evolve S1
D4:3A:2E:37:15:6D,2025-11-09 18:57:39,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,208@BR,Evolve S1
D4:3A:2E:37:15:9D,2025-11-09 18:57:39,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,311,Evolve S1
D4:3A:2E:37:12:6C,2025-11-09 18:57:24,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,111,Evolve S1
D4:3A:2E:37:10:B5,2025-11-09 18:57:21,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,440,Evolve S1
D4:3A:2E:37:15:2A,2025-11-09 18:57:11,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,334,Evolve S1
