Device ID,Average Net Disruption Count,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
18:0c:7a:8a:86:0e,5,2025-12-01 20:29:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078 B1,Evolve M2
38:e1:f4:48:da:93,8,2025-12-01 20:29:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1016,Evolve M2
8c:9a:8f:d9:ec:d0,5,2025-12-01 20:29:08,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078 B2,Evolve M2
38:e1:f4:48:db:54,5,2025-12-01 20:27:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1017 B2,Evolve M2
38:e1:f4:48:db:7b,6,2025-12-01 20:27:09,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1017 B1,Evolve M2
38:e1:f4:48:93:dc,3,2025-12-01 20:26:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1049,Evolve M2
38:e1:f4:48:db:3c,2,2025-12-01 20:26:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2020 B2,Evolve M2
38:e1:f4:48:db:11,3,2025-12-01 20:25:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085 B1,Evolve M2
38:e1:f4:48:db:5d,4,2025-12-01 20:24:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2019 B1,Evolve M2
8c:9a:8f:d9:f3:d2,4,2025-12-01 20:24:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2049 B1,Evolve M2
38:e1:f4:48:87:c7,4,2025-12-01 20:24:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2087 B1,Evolve M2
38:e1:f4:48:94:06,4,2025-12-01 20:24:00,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1049 B1,Evolve M2
38:e1:f4:48:da:e7,5,2025-12-01 20:23:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1087,Evolve M2
38:e1:f4:48:db:63,6,2025-12-01 20:23:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2018 B1,Evolve M2
38:e1:f4:48:db:69,10,2025-12-01 20:23:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2017 B1,Evolve M2
38:e1:f4:48:da:d8,2,2025-12-01 20:23:34,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2018,Evolve M2
38:e1:f4:48:db:72,8,2025-12-01 20:23:11,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1019 B2,Evolve M2
38:e1:f4:48:d9:dc,5,2025-12-01 20:20:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085,Evolve M2
38:e1:f4:48:db:5a,9,2025-12-01 20:20:06,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2017,Evolve M2
38:e1:f4:48:db:7e,4,2025-12-01 20:19:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1018 B2,Evolve M2
38:e1:f4:48:db:8a,7,2025-12-01 20:19:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1017,Evolve M2
18:0c:7a:8a:89:8c,4,2025-12-01 20:19:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1020 B1,Evolve M2
38:e1:f4:48:db:33,6,2025-12-01 20:19:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2020,Evolve M2
18:0c:7a:8a:89:98,9,2025-12-01 20:19:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1020 B2,Evolve M2
38:e1:f4:48:86:51,3,2025-12-01 20:19:00,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2078,Evolve M2
38:e1:f4:48:db:42,9,2025-12-01 20:16:57,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2019 B2,Evolve M2
38:e1:f4:48:db:75,2,2025-12-01 20:16:09,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1019 B1,Evolve M2
38:e1:f4:48:da:75,4,2025-12-01 20:15:18,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2018 B2,Evolve M2
