Device ID,RSSI (dBm),Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
58:68:7a:50:ca:8e,-59.00,2026-01-16 15:59:58,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,tttv,Evolve M1
58:68:7a:50:d1:29,-48.00,2026-01-16 15:59:56,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,262,Evolve M1
58:68:7a:50:ca:6d,-53.00,2026-01-16 15:59:55,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,207,Evolve M1
58:68:7a:50:d1:23,-54.00,2026-01-16 15:59:49,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,264 aj,Evolve M1
58:68:7a:4e:01:6e,-48.00,2026-01-16 15:59:49,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,Living Room TV,Evolve M1
58:68:7a:50:ca:9d,-59.00,2026-01-16 15:58:53,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:cd:8a,-53.00,2026-01-16 15:58:53,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,Android TV,Evolve M1
58:68:7a:50:d1:ec,-59.00,2026-01-16 15:58:53,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,173,Evolve M1
58:68:7a:50:cc:61,-57.00,2026-01-16 15:58:52,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,Bryson,Evolve M1
58:68:7a:50:cc:56,-54.00,2026-01-16 15:58:33,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,140,Evolve M1
58:68:7a:4d:fd:f7,-50.00,2026-01-16 15:58:25,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,257,Evolve M1
58:68:7a:50:d2:4b,-58.00,2026-01-16 15:58:19,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,168,Evolve M1
