Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:16:A9:E4,-64.00,2024-10-29 14:59:55,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,407,Evolve S1
D4:3A:2E:30:9B:FB,-62.00,2024-10-29 14:59:44,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,306,Evolve S1
D4:3A:2E:30:A6:E1,-68.00,2024-10-29 14:59:30,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,408,Evolve S1
D4:3A:2E:16:AB:21,-67.00,2024-10-29 14:59:27,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,212,Evolve S1
D4:3A:2E:16:A9:C9,-66.00,2024-10-29 14:59:12,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,309,Evolve S1
D4:3A:2E:16:A1:01,-63.00,2024-10-29 14:57:30,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,616,Evolve S1
D4:3A:2E:30:A7:8A,-66.00,2024-10-29 14:57:20,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,409,Evolve S1
D4:3A:2E:16:AA:7B,-70.00,2024-10-29 14:53:59,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,415,Evolve S1
D4:3A:2E:16:AA:6A,-68.00,2024-10-29 14:53:40,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,313,Evolve S1
D4:3A:2E:16:A1:1E,-76.00,2024-10-29 14:52:36,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,702,Evolve S1
D4:3A:2E:30:B5:19,-72.00,2024-10-29 14:49:53,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,505,Evolve S1
D4:3A:2E:16:AA:AF,-62.00,2024-10-29 14:48:58,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,401,Evolve S1
D4:3A:2E:16:AA:94,-64.00,2024-10-29 14:48:57,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,402,Evolve S1
D4:3A:2E:16:AA:A9,-65.00,2024-10-29 14:48:49,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,316,Evolve S1
D4:3A:2E:16:AA:D3,-65.00,2024-10-29 14:48:37,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,416,Evolve S1
D4:3A:2E:16:AB:3B,-66.00,2024-10-29 14:47:44,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,508,Evolve S1
D4:3A:2E:30:B5:07,-64.00,2024-10-29 14:45:49,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,210,Evolve S1
D4:3A:2E:16:A9:BD,-63.00,2024-10-29 14:45:12,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,215,Evolve S1
D4:3A:2E:30:B4:D5,-64.00,2024-10-29 14:45:11,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,207,Evolve S1
D4:3A:2E:16:A9:CB,-71.00,2024-10-29 14:45:05,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,314,Evolve S1
D4:3A:2E:16:AA:CF,-64.00,2024-10-29 14:45:04,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,308,Evolve S1
D4:3A:2E:16:AA:96,-67.00,2024-10-29 14:45:00,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,413,Evolve S1
