Channel Name,Cumulative Usage(Hrs),STB Count
PBS,119920.31,451
CBS,119090.68,459
ABC,117548.87,468
FOX,116634.65,461
CW,114572.47,451
TMND,114127.37,437
CSPN2,113231.87,425
UNVSN,113122.33,437
NBC,112333.76,458
ESPN2,111539.83,445
FOXB,111197.58,429
ESNWS,110390.81,444
FOXS1,108187.53,432
HLN,108040.36,443
ESPNU,107920.15,424
ESPN,107607.04,455
CNN,106291.67,439
CNBC,106223.91,441
WEATH,105343.83,428
A&E,103973.35,444
FXNWS,101973.53,446
DISE,100968.71,455
NICK,98657.26,456
TOON,96570.51,451
BUZZR,91230.32,418
AMC,90530.52,455
AXS,90412.21,421
WE,89685.18,429
BRAVO,89471.47,431
CMDY,89175.78,447
BOUNC,87649.77,434
CMT,87029.14,432
COMET,86833.87,413
APL,86657.82,433
DISC,83619.24,416
FUSE,83411.47,415
FRFM,83252.24,428
E!,80787.43,432
USA,80612.14,436
FXX,79970.51,421
TRU,79473.26,417
GRIO,79188.16,401
FX,78416.65,431
HERIC,78300.62,403
TLC,78231.80,413
TRV,77760.69,407
HGTV,77515.88,419
TBN,76792.90,398
VH1,75776.49,423
TBS,75628.85,436
GRIT,75574.41,400
HIST,75534.39,414
SYFY,74890.38,424
PARAM,74336.89,425
IFC,73794.88,416
NTGEO,73659.48,408
MTV,73133.40,425
LIFE,72307.90,413
TNT,72002.38,424
FOOD,67405.55,422
MSNBC,60182.82,408
MSNOW,44843.75,347
MT,41252.40,334
TURBO,33515.30,276
SEC,100.86,1
ACCN,69.20,1
GOLF,47.73,1
FOXS2,47.73,1
OTDCH,33.21,1
WN,32.99,1
NFL,18.23,1
NHLN,18.22,1
BIG10,18.22,1
TENIS,18.22,1
CBSSN,18.01,1
HDNMV,15.05,1
MTVL,15.04,1
NATGW,15.00,1
SHOEX,14.97,1
SHOCS,14.97,1
SHOFZ,14.96,1
STARZ,14.95,1
SPMAN,14.95,1
STZC,14.94,1
TVLND,14.78,1
3ABN,14.76,1
WBTV-DT,14.37,1
WCCB-DT,14.37,1
WCNC-HD,14.36,1
Grit,14.35,1
WJZY-HD,14.35,1
Crime,14.35,1
ION,14.35,1
WAXN,14.35,1
House Channel 2,0.57,1
House Channel 1,0.57,1
