Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:16:AA:96,2024-10-29 14:00:00,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,413,Evolve S1
D4:3A:2E:16:AA:CF,2024-10-29 14:00:04,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,308,Evolve S1
D4:3A:2E:16:A9:CB,2024-10-29 14:00:05,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,314,Evolve S1
D4:3A:2E:16:AA:26,2024-10-29 14:00:06,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,420,Evolve S1
D4:3A:2E:16:AA:D7,2024-10-29 14:00:07,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,307,Evolve S1
D4:3A:2E:16:AA:4E,2024-10-29 14:00:08,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,608,Evolve S1
D4:3A:2E:30:B4:D5,2024-10-29 14:00:11,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,207,Evolve S1
D4:3A:2E:16:AA:79,2024-10-29 14:00:12,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,418,Evolve S1
D4:3A:2E:16:A9:BD,2024-10-29 14:00:12,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,215,Evolve S1
D4:3A:2E:30:A6:7E,2024-10-29 14:00:13,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,403,Evolve S1
D4:3A:2E:30:A6:95,2024-10-29 14:00:15,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,301,Evolve S1
D4:3A:2E:16:AB:42,2024-10-29 14:00:25,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,214,Evolve S1
D4:3A:2E:30:A6:85,2024-10-29 14:00:38,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,511,Evolve S1
D4:3A:2E:16:AA:75,2024-10-29 14:00:48,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,515,Evolve S1
D4:3A:2E:30:B5:07,2024-10-29 14:00:49,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,210,Evolve S1
D4:3A:2E:16:AA:89,2024-10-29 14:01:08,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,319,Evolve S1
D4:3A:2E:16:AB:3B,2024-10-29 14:02:44,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,508,Evolve S1
D4:3A:2E:16:A9:FE,2024-10-29 14:03:17,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,303,Evolve S1
