Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:47:65:ba,2025-12-01 20:29:59,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2030 B1,Evolve M2
38:e1:f4:48:79:29,2025-12-01 20:29:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2059,Evolve M2
18:0c:7a:8a:89:2f,2025-12-01 20:29:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1024,Evolve M2
38:e1:f4:48:8c:db,2025-12-01 20:29:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2065 B1,Evolve M2
18:0c:7a:8a:8a:a3,2025-12-01 20:29:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1059,Evolve M2
8c:9a:8f:d9:ec:8c,2025-12-01 20:29:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2032 B2,Evolve M2
18:0c:7a:8a:87:5b,2025-12-01 20:29:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1043 B1,Evolve M2
8c:9a:8f:d9:f3:77,2025-12-01 20:29:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2048 B1,Evolve M2
38:e1:f4:48:84:78,2025-12-01 20:29:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1062,Evolve M2
38:e1:f4:48:83:aa,2025-12-01 20:29:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2007,Evolve M2
38:e1:f4:48:8b:d3,2025-12-01 20:29:46,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2078 B1,Evolve M2
38:e1:f4:48:91:32,2025-12-01 20:29:43,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2072,Evolve M2
