Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:51:e8:d8,2026-07-28 13:44:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1504B,Evolve M2
10:2b:aa:50:38:35,2026-07-28 13:44:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,304A,Evolve M2
10:2b:aa:50:04:30,2026-07-28 13:44:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1006A,Evolve M2
10:2b:aa:51:e0:77,2026-07-28 13:44:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,509B,Evolve M2
10:2b:aa:50:2c:e0,2026-07-28 13:44:54,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1604B,Evolve M2
10:2b:aa:50:3e:50,2026-07-28 13:44:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1712B,Evolve M2
10:2b:aa:50:2b:f9,2026-07-28 13:44:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1612A,Evolve M2
10:2b:aa:50:03:d6,2026-07-28 13:44:51,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,811A,Evolve M2
10:2b:aa:50:92:4a,2026-07-28 13:44:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1602B@L,Evolve M2
10:2b:aa:50:35:2c,2026-07-28 13:44:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,408A,Evolve M2
