icx_label,ethernet_mac,wifi_mac_derived,last_seen_icx,days_since,mdns_label,mdns_mac,mdns_ip,mdns_note,labeling_correction,source,room,site,lockout,reswept,reswept_at
1001A@B,10:2b:aa:50:39:d6,10:2b:aa:50:39:d7,2026-08-07 09:03:52,0.01,1001A@B,10:2b:aa:50:39:d7,192.168.203.5,,,iCX,1001A,MVM784,1001,yes,2026-08-01T19:41:03.679Z
1001A@L,10:2b:aa:50:39:5e,10:2b:aa:50:39:5f,2026-08-07 09:04:10,0.01,1001A@L,10:2b:aa:50:39:5f,192.168.202.255,,,iCX,1001A,MVM784,1001,yes,2026-08-01T19:41:03.679Z
1001B@B,10:2b:aa:50:91:9c,10:2b:aa:50:91:9d,2026-08-07 09:02:34,0.01,1001B@B,10:2b:aa:50:91:9d,192.168.200.72,,,iCX,1001B,MVM784,1001,yes,2026-08-01T19:43:35.671Z
1001B@L,10:2b:aa:50:91:de,10:2b:aa:50:91:df,2026-08-07 09:02:32,0.01,1001B@L,10:2b:aa:50:91:df,192.168.201.103,,,iCX,1001B,MVM784,1001,yes,2026-08-01T19:43:35.671Z
1001S@B,10:2b:aa:50:31:6f,10:2b:aa:50:31:70,2026-08-07 09:14:31,0.0,1001S@B,10:2b:aa:50:31:70,192.168.203.173,,,iCX,1001S,MVM784,1001,yes,2026-08-01T19:26:50.481Z
1001S@L,10:2b:aa:50:32:41,10:2b:aa:50:32:42,2026-08-07 09:14:13,0.0,1001S@L,10:2b:aa:50:32:42,192.168.202.119,,,iCX,1001S,MVM784,1001,yes,2026-08-01T19:26:50.481Z
1002A@B,10:2b:aa:50:32:3b,10:2b:aa:50:32:3c,2026-08-07 09:00:14,0.01,1002A@B,10:2b:aa:50:32:3c,192.168.200.234,,,iCX,1002A,MVM784,1002,yes,2026-08-01T19:38:40.664Z
1002A@L,10:2b:aa:50:31:f6,10:2b:aa:50:31:f7,2026-08-07 09:00:01,0.01,1002A@L,10:2b:aa:50:31:f7,192.168.200.163,,,iCX,1002A,MVM784,1002,yes,2026-08-01T19:38:40.664Z
1002B@B,10:2b:aa:50:3c:34,10:2b:aa:50:3c:35,2026-08-07 09:00:09,0.01,1002B@B,10:2b:aa:50:3c:35,192.168.200.120,,,iCX,1002B,MVM784,1002,yes,2026-07-31T17:23:35.769Z
1002B@L,10:2b:aa:50:2f:83,10:2b:aa:50:2f:84,2026-08-07 09:00:32,0.01,1002B@L,10:2b:aa:50:2f:84,192.168.201.6,,,iCX,1002B,MVM784,1002,yes,2026-07-31T17:23:35.769Z
,,,,,1002A,de:66:04:15:69:ae,192.168.203.144,Stale MAC (randomized),,mDNS only,1002A,MVM784,1002,yes,2026-08-01T19:38:40.664Z
1003A@B,10:2b:aa:50:3e:74,10:2b:aa:50:3e:75,2026-08-07 09:04:36,0.01,1003A@B,10:2b:aa:50:3e:75,192.168.201.109,,,iCX,1003A,MVM784,1003,yes,2026-08-01T15:28:33.250Z
1003A@L,10:2b:aa:50:2c:95,10:2b:aa:50:2c:96,2026-08-07 09:08:23,0.0,,,,Not in mDNS,,iCX,1003A,MVM784,1003,yes,2026-08-01T15:28:33.250Z
1003B@B,10:2b:aa:50:90:f7,10:2b:aa:50:90:f8,2026-08-07 09:12:57,0.0,1003B@B,10:2b:aa:50:90:f8,192.168.202.41,,,iCX,1003B,MVM784,1003,yes,2026-08-01T15:44:43.531Z
1003B@L,10:2b:aa:50:8e:48,10:2b:aa:50:8e:49,2026-08-07 09:02:03,0.01,1003B@L,10:2b:aa:50:8e:49,192.168.200.170,,,iCX,1003B,MVM784,1003,yes,2026-08-01T15:44:43.531Z
1004A@B,10:2b:aa:50:34:99,10:2b:aa:50:34:9a,2026-08-07 09:03:04,0.01,1004A@B,10:2b:aa:50:34:9a,192.168.201.59,,,iCX,1004A,MVM784,1004,yes,2026-07-31T17:26:28.833Z
1004A@L,10:2b:aa:50:38:98,10:2b:aa:50:38:99,2026-08-07 09:10:54,0.0,1004A@L,10:2b:aa:50:38:99,192.168.202.140,,,iCX,1004A,MVM784,1004,yes,2026-07-31T17:26:28.833Z
1004B,10:2b:aa:50:90:ee,10:2b:aa:50:90:ef,2026-08-07 09:08:34,0.0,1004B,10:2b:aa:50:90:ef,192.168.203.156,,,iCX,1004B,MVM784,1004,yes,2026-07-30T16:44:20.437Z
1004B,10:2b:aa:50:90:be,10:2b:aa:50:90:bf,2026-08-07 09:07:59,0.0,1004B,10:2b:aa:50:90:bf,192.168.203.152,,,iCX,1004B,MVM784,1004,yes,2026-07-30T16:44:20.437Z
