mac,room,ip,stb_id,mac_is_randomized
38:e1:f4:48:ca:68,1007,192.168.212.31,473643,False
4a:df:55:0a:98:b1,1035,192.168.213.41,473644,True
38:e1:f4:48:86:1e,1066@B2,192.168.213.211,473645,False
ce:cb:22:32:6a:c5,1085,192.168.212.216,473646,True
38:e1:f4:48:8b:d4,2078,192.168.213.201,473648,False
18:0c:7a:8a:88:58,1026,192.168.213.91,473649,False
8c:9a:8f:d9:e7:7a,2041,192.168.213.76,473651,False
18:0c:7a:8a:96:bf,1012@L,192.168.213.172,473652,False
8e:cc:ce:c4:bd:05,2068,192.168.212.33,473653,True
38:e1:f4:49:84:be,2051,192.168.212.213,473654,False
a2:b4:95:48:09:3b,2047,192.168.212.236,473656,True
18:0c:7a:8a:86:f3,1040@L,192.168.213.232,473658,False
8c:9a:8f:d9:ec:59,1050,192.168.212.221,473659,False
38:e1:f4:48:79:e6,2060,192.168.212.180,473660,False
fe:a8:9e:94:6b:94,2074,192.168.213.83,473661,True
38:e1:f4:48:91:43,1033@L,192.168.213.212,473662,False
18:0c:7a:8a:8c:48,1008,192.168.212.193,473663,False
22:d0:d5:5d:a8:94,2039,192.168.212.149,473664,True
38:e1:f4:48:93:cb,1028,192.168.212.254,473665,False
18:0c:7a:8a:86:36,1079@B2,192.168.212.246,473666,False
d6:e8:40:85:a3:24,1029,192.168.213.15,473668,True
4a:1b:04:1c:c9:0e,1020,192.168.212.240,473669,True
38:e1:f4:48:81:87,2059,192.168.212.50,473670,False
36:de:5b:18:51:fe,2044,192.168.212.48,473672,True
38:e1:f4:49:84:bb,2052@L,192.168.212.231,473673,False
38:e1:f4:48:92:4e,1044@L,192.168.213.58,473674,False
38:e1:f4:48:db:55,1017,192.168.212.35,473675,False
38:e1:f4:48:8c:b5,2081@L,192.168.212.187,473676,False
18:0c:7a:8a:86:c9,1035@B2,192.168.212.127,473677,False
0a:d9:87:6a:40:64,1038,192.168.213.54,473679,True
38:e1:f4:48:92:39,1028,192.168.212.211,473680,False
38:e1:f4:48:84:08,2006@B,192.168.212.245,473681,False
f2:18:e6:cb:99:86,2080,192.168.213.10,473682,True
38:e1:f4:48:db:37,2023@B1,192.168.212.93,473683,False
38:e1:f4:48:db:7f,1018,192.168.212.232,473685,False
38:e1:f4:48:db:49,2022,192.168.213.149,473686,False
0a:03:80:fa:77:c6,1037,192.168.213.34,473688,True
